date,type,breakdown,transaction_volume,transaction_nominal
1/12/2020,UE Non-Bank,Tunai,9078685,2.98E+12
1/1/2021,UE Non-Bank,Tunai,8806382,3.01E+12
1/2/2021,UE Non-Bank,Tunai,6392575,1.94E+12
1/3/2021,UE Non-Bank,Tunai,7986092,2.57E+12
1/4/2021,UE Non-Bank,Tunai,8938395,3.05E+12
1/5/2021,UE Non-Bank,Tunai,9647826,3.40E+12
1/6/2021,UE Non-Bank,Tunai,9620883,3.31E+12
1/7/2021,UE Non-Bank,Tunai,9564496,3.08E+12
1/8/2021,UE Non-Bank,Tunai,9477591,3.04E+12
1/9/2021,UE Non-Bank,Tunai,10594625,3.64E+12
1/10/2021,UE Non-Bank,Tunai,12468568,4.24E+12
1/11/2021,UE Non-Bank,Tunai,12028919,4.19E+12
1/12/2021,UE Non-Bank,Tunai,12608534,4.59E+12
1/1/2022,UE Non-Bank,Tunai,11662097,4.04E+12
1/2/2022,UE Non-Bank,Tunai,10745474,3.67E+12
1/3/2022,UE Non-Bank,Tunai,13088404,4.44E+12
1/4/2022,UE Non-Bank,Tunai,15400428,5.57E+12
1/5/2022,UE Non-Bank,Tunai,15194335,5.43E+12
1/6/2022,UE Non-Bank,Tunai,7258619,2.41E+12
1/7/2022,UE Non-Bank,Tunai,7177168,2.45E+12
1/8/2022,UE Non-Bank,Tunai,6936464,2.40E+12
1/9/2022,UE Non-Bank,Tunai,7893794,2.74E+12
1/10/2022,UE Non-Bank,Tunai,8185723,2.84E+12
1/11/2022,UE Non-Bank,Tunai,8523778,2.93E+12
1/12/2022,UE Non-Bank,Tunai,8549493,3.10E+12
1/1/2023,UE Non-Bank,Tunai,7090045,2.60E+12
1/2/2023,UE Non-Bank,Tunai,6934828,2.40E+12
1/3/2023,UE Non-Bank,Tunai,7524256,2.52E+12
1/4/2023,UE Non-Bank,Tunai,7194520,2.45E+12
1/5/2023,UE Non-Bank,Tunai,7377548,2.31E+12
1/6/2023,UE Non-Bank,Tunai,7263008,2.25E+12
1/7/2023,UE Non-Bank,Tunai,2690293,1.00E+12
1/8/2023,UE Non-Bank,Tunai,2666757,1.01E+12
1/9/2023,UE Non-Bank,Tunai,2491089,9.74E+11
1/1/2019,UE Non-Bank,Redeem,713,9.58E+04
1/2/2019,UE Non-Bank,Redeem,583252,2.10E+03
1/3/2019,UE Non-Bank,Redeem,649258,1.69E+06
1/4/2019,UE Non-Bank,Redeem,2974881,0.00E+00
1/5/2019,UE Non-Bank,Redeem,12162744,1.50E+05
1/6/2019,UE Non-Bank,Redeem,9481507,6.67E+05
