date,type,breakdown,transaction_volume,transaction_nominal
1/3/2020,UE Bank,Redeem,9142,2556940000
1/4/2020,UE Bank,Redeem,2540,801010000
1/5/2020,UE Bank,Redeem,2518,698670000
1/6/2020,UE Bank,Redeem,2505,797190000
1/7/2020,UE Bank,Redeem,2684,831610000
1/8/2020,UE Bank,Redeem,5303,1723250000
1/9/2020,UE Bank,Redeem,7529,2130710000
1/10/2020,UE Bank,Redeem,5353,1791540000
1/11/2020,UE Bank,Redeem,5829,2478180000
1/12/2020,UE Bank,Redeem,6273,2596110000
1/1/2021,UE Bank,Redeem,6431,3810250000
1/2/2021,UE Bank,Redeem,6001,2481460000
1/3/2021,UE Bank,Redeem,5038,1728770000
1/4/2021,UE Bank,Redeem,5296,1748930000
1/5/2021,UE Bank,Redeem,4900,1593850000
1/6/2021,UE Bank,Redeem,4856,1601510000
1/7/2021,UE Bank,Redeem,4844,1600610000
1/8/2021,UE Bank,Redeem,4826,1580140000
1/9/2021,UE Bank,Redeem,5046,1718330000
1/10/2021,UE Bank,Redeem,4929,1650340000
1/11/2021,UE Bank,Redeem,5091,1787840000
1/12/2021,UE Bank,Redeem,5268,1856440000
1/1/2022,UE Bank,Redeem,29971,1674010677
1/2/2022,UE Bank,Redeem,756,331831776
1/3/2022,UE Bank,Redeem,560,226162703
1/4/2022,UE Bank,Redeem,618,184504732
1/5/2022,UE Bank,Redeem,779,251549102
1/6/2022,UE Bank,Redeem,850,256157949
1/7/2022,UE Bank,Redeem,812,243455297
1/8/2022,UE Bank,Redeem,1025,341838102
1/9/2022,UE Bank,Redeem,1026,252033864
1/10/2022,UE Bank,Redeem,1105,318749274
1/11/2022,UE Bank,Redeem,1165,365158979
1/12/2022,UE Bank,Redeem,1154,366131123
1/1/2023,UE Bank,Redeem,1281,421695245
1/2/2023,UE Bank,Redeem,1129,291114382
1/3/2023,UE Bank,Redeem,1125,276959348
1/4/2023,UE Bank,Redeem,834,226938765
1/5/2023,UE Bank,Redeem,1449,410661757
1/6/2023,UE Bank,Redeem,1204,388024681
1/7/2023,UE Bank,Redeem,1853,519424437
1/8/2023,UE Bank,Redeem,1442,349882574
1/9/2023,UE Bank,Redeem,1358,345516753
1/1/2019,UE Bank,Belanja,162054128,2.09E+12
1/2/2019,UE Bank,Belanja,176398310,2.22E+12
1/3/2019,UE Bank,Belanja,213010836,2.78E+12
1/4/2019,UE Bank,Belanja,237314293,2.73E+12
1/5/2019,UE Bank,Belanja,178993610,2.55E+12
1/6/2019,UE Bank,Belanja,178984334,2.79E+12
1/7/2019,UE Bank,Belanja,214543684,3.12E+12
1/8/2019,UE Bank,Belanja,207316478,2.88E+12
1/9/2019,UE Bank,Belanja,179693597,2.64E+12
1/10/2019,UE Bank,Belanja,189262251,2.93E+12
1/11/2019,UE Bank,Belanja,182058383,2.96E+12
1/12/2019,UE Bank,Belanja,198062699,3.31E+12
1/1/2020,UE Bank,Belanja,182611818,3.09E+12
1/2/2020,UE Bank,Belanja,174265453,3.02E+12
1/3/2020,UE Bank,Belanja,150913324,2.77E+12
1/4/2020,UE Bank,Belanja,91640406,1.76E+12
